_id,AIR_CONDITIONING_TYPE,AMENITIES_AVAILABLE,BALCONIES,BARRIER_FREE_ACCESSIBILTY_ENTR,BIKE_PARKING,EXTERIOR_FIRE_ESCAPE,FACILITIES_AVAILABLE?,FIRE_ALARM,GARBAGE_CHUTES,HEATING_TYPE,INTERCOM,IS_THERE_A_COOLING_ROOM?,IS_THERE_EMERGENCY_POWER?,LAUNDRY_ROOM,LOCKER_OR_STORAGE_ROOM,NO_BARRIERFREE_ACCESSBLE_UNITS,NO_OF_ACCESSIBLEPARKING_SPACES,NO_OF_ELEVATORS,NO_OF_STOREYS,NO_OF_UNITS,NON-SMOKING_BUILDING,PARKING_TYPE,PETS_ALLOWED,PROP_MANAGEMENT_COMPANY_NAME,PROPERTY_TYPE,RSN,SEPARATE_GAS_METERS_EACH_UNIT,SEPARATE_HYDRO_METER_EACH_UNIT,SEPARATE_WATER_METERS_EA_UNIT,SITE_ADDRESS,SPRINKLER_SYSTEM,VISITOR_PARKING,WARD,WINDOW_TYPE,YEAR_BUILT,YEAR_REGISTERED
3514,NONE,Outdoor pool,YES,NO,Not Available,NO,Recycling bins,YES,YES,HOT WATER,YES,NO,YES,YES,YES,0.0,1.0,2.0,15,118,NO,"Underground Garage , Garage accessible thru buildg , Surface Parking , Parking Deck",NO,FRED HAGEMAN'S HOLDINGS LTD,PRIVATE,4156493,NO,YES,NO,355  GRANDRAVINE DR ,YES,FREE,07,DOUBLE PANE,1971.0,2017.0
3515,NONE,,YES,YES,Not Available,NO,Recycling bins,YES,YES,HOT WATER,YES,NO,YES,YES,NO,0.0,1.0,2.0,15,131,YES,"Underground Garage , Garage accessible thru buildg , Surface Parking",YES,ELMPARK MANOR APARTMENTS,PRIVATE,4156494,NO,NO,NO,4750  JANE ST ,YES,FREE,07,SINGLE PANE,1974.0,2017.0
3516,NONE,"Indoor pool , Child play area",YES,NO,Not Available,NO,Recycling bins,YES,YES,HOT WATER,YES,NO,NO,YES,YES,0.0,2.0,2.0,7,101,YES,"Underground Garage , Surface Parking",YES,PINEDALE PROPERTIES LTD,PRIVATE,4156495,NO,YES,NO,14  CARLUKE CRES ,YES,FREE,15,DOUBLE PANE,1962.0,2017.0
3517,NONE,Indoor recreation room,YES,YES,15 indoor parking spots and 0 outdoor parking spots,YES,Green Bin / Organics,YES,YES,HOT WATER,YES,NO,YES,YES,NO,1.0,1.0,3.0,21,254,NO,"Underground Garage , Garage accessible thru buildg , Surface Parking",YES,,PRIVATE,4152730,NO,YES,NO,5  BROCKLEY DR ,YES,PAID,21,DOUBLE PANE,1969.0,2017.0
3518,NONE,,YES,YES,Not Available,NO,Green Bin / Organics,YES,YES,FORCED AIR GAS,YES,NO,YES,YES,YES,0.0,4.0,2.0,13,144,YES,"Underground Garage , Ground Level Garage , Garage accessible thru buildg , Surface Parking",YES,FIRM CAPITAL PROPERTIES INC,PRIVATE,4152760,NO,NO,NO,1385  MIDLAND AVE ,YES,FREE,21,DOUBLE PANE,1950.0,2017.0
3519,NONE,,YES,YES,Not Available,NO,Green Bin / Organics,YES,YES,HOT WATER,YES,NO,YES,YES,NO,0.0,2.0,2.0,7,131,NO,"Underground Garage , Garage accessible thru buildg , Surface Parking",NO,,PRIVATE,4152764,NO,NO,NO,50  TRUDELLE ST ,YES,FREE,21,DOUBLE PANE,1969.0,2017.0
3520,NONE,,YES,NO,30 indoor parking spots and 0 outdoor parking spots,NO,Recycling bins,YES,YES,HOT WATER,YES,NO,YES,YES,YES,0.0,6.0,2.0,12,138,YES,"Underground Garage , Ground Level Garage",NO,,PRIVATE,4152767,NO,NO,NO,1299  DANFORTH RD ,YES,FREE,21,DOUBLE PANE,1967.0,2017.0
3521,NONE,,NO,YES,0 indoor parking spots and 12 outdoor parking spots,YES,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,YES,YES,NO,0.0,0.0,0.0,3,18,YES,,NO,HAVELOCK APARTMENTS,PRIVATE,4153158,NO,NO,NO,1  HAVELOCK ST ,NO,UNAVAILABLE,09,DOUBLE PANE,1905.0,2017.0
3522,NONE,,YES,YES,0 indoor parking spots and 20 outdoor parking spots,NO,Green Bin / Organics,YES,YES,ELECTRIC,YES,NO,YES,YES,YES,226.0,0.0,3.0,20,226,NO,"Underground Garage , Garage accessible thru buildg",YES,,PRIVATE,4153164,NO,YES,NO,323  RUSHOLME RD ,YES,PAID,09,DOUBLE PANE,1968.0,2017.0
3523,NONE,,NO,NO,Not Available,NO,Recycling bins,YES,NO,HOT WATER,YES,NO,NO,YES,NO,0.0,10.0,0.0,4,15,NO,Surface Parking,YES,CANLIGHT MANAGEMENT INC.,PRIVATE,4153182,NO,YES,NO,161  CHRISTIE ST ,NO,UNAVAILABLE,11,DOUBLE PANE,1965.0,2017.0
3524,NONE,"Indoor recreation room , Child play area",YES,YES,0 indoor parking spots and 20 outdoor parking spots,NO,Green Bin / Organics,YES,YES,HOT WATER,YES,NO,YES,YES,YES,6.0,1.0,1.0,4,29,NO,Surface Parking,YES,,SOCIAL HOUSING,4153625,NO,YES,NO,54  MARIGOLD AVE ,YES,FREE,14,DOUBLE PANE,1996.0,2017.0
3525,NONE,,NO,NO,4 indoor parking spots and 4 outdoor parking spots,YES,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,NO,YES,NO,0.0,0.0,0.0,4,21,NO,,YES,,PRIVATE,4153630,NO,YES,NO,245-247  LOGAN AVE ,YES,UNAVAILABLE,14,DOUBLE PANE,1927.0,2017.0
3526,NONE,Indoor recreation room,YES,NO,0 indoor parking spots and 5 outdoor parking spots,NO,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,NO,YES,YES,0.0,0.0,0.0,5,19,NO,Surface Parking,YES,MAINSTAY HOUSING,SOCIAL HOUSING,4153631,NO,NO,NO,502  EASTERN AVE ,YES,FREE,14,DOUBLE PANE,1989.0,2017.0
3527,CENTRAL AIR,"Indoor recreation room , Outdoor rec facilities",YES,YES,20 indoor parking spots and 0 outdoor parking spots,NO,Green Bin / Organics,YES,YES,FORCED AIR GAS,YES,NO,YES,YES,YES,27.0,0.0,2.0,5,177,NO,"Underground Garage , Garage accessible thru buildg",YES,,SOCIAL HOUSING,4153633,NO,NO,NO,1070  QUEEN ST E,YES,FREE,14,DOUBLE PANE,1993.0,2017.0
3528,NONE,,,NO,Not Available,YES,Recycling bins,YES,NO,HOT WATER,,NO,NO,NO,NO,,0.0,0.0,4,42,NO,,YES,,PRIVATE,4153639,NO,NO,NO,279  WOODFIELD RD ,YES,,14,SINGLE PANE,1915.0,
3529,NONE,,NO,NO,Not Available,YES,Green Bin / Organics,YES,NO,,YES,NO,NO,NO,NO,,0.0,0.0,4,31,NO,,,,PRIVATE,4153652,NO,YES,NO,796  CARLAW AVE ,YES,UNAVAILABLE,14,DOUBLE PANE,1922.0,2018.0
3530,NONE,,YES,YES,Not Available,YES,Green Bin / Organics,YES,NO,ELECTRIC,YES,NO,NO,YES,NO,0.0,0.0,0.0,3,11,NO,Surface Parking,YES,,SOCIAL HOUSING,4153657,NO,NO,NO,570  COXWELL AVE ,YES,UNAVAILABLE,14,DOUBLE PANE,1990.0,2017.0
3531,NONE,,YES,YES,0 indoor parking spots and 10 outdoor parking spots,NO,Green Bin / Organics,YES,YES,HOT WATER,YES,NO,YES,YES,YES,400.0,2.0,4.0,20,400,NO,"Underground Garage , Garage accessible thru buildg , Surface Parking",YES,MORGUARD NAR CANADA L.P,PRIVATE,4154153,NO,YES,NO,49  THORNCLIFFE PARK DR ,YES,PAID,15,SINGLE PANE,1968.0,2017.0
3532,NONE,,YES,YES,Not Available,NO,Green Bin / Organics,YES,YES,HOT WATER,YES,NO,NO,YES,NO,2.0,10.0,2.0,17,308,YES,"Underground Garage , Garage accessible thru buildg , Surface Parking",YES,Q REIT SUB LP,PRIVATE,4154157,NO,YES,NO,75  THORNCLIFFE PARK DR ,NO,FREE,15,DOUBLE PANE,1966.0,2017.0
3533,NONE,,YES,YES,Not Available,NO,Recycling bins,YES,NO,HOT WATER,YES,YES,YES,YES,YES,0.0,0.0,1.0,6,71,NO,Parking Deck,YES,PARK PROPERTY MANAGEMENT INC. ,PRIVATE,4154160,NO,YES,NO,58  THORNCLIFFE PARK DR ,YES,UNAVAILABLE,15,DOUBLE PANE,1960.0,2017.0
3534,NONE,,YES,YES,Not Available,NO,Recycling bins,YES,YES,HOT WATER,YES,NO,NO,YES,YES,2.0,60.0,1.0,6,57,YES,"Ground Level Garage , Surface Parking",YES,,PRIVATE,4154164,NO,YES,NO,50  THORNCLIFFE PARK DR ,YES,FREE,15,DOUBLE PANE,1960.0,2017.0
3535,NONE,,YES,YES,0 indoor parking spots and 5 outdoor parking spots,YES,Recycling bins,YES,NO,FORCED AIR GAS,YES,NO,YES,YES,YES,0.0,1.0,1.0,7,60,YES,"Carport , Surface Parking",YES,CENTURY HOLDINGS LTD.,PRIVATE,4154173,NO,NO,NO,22  THORNCLIFFE PARK DR ,NO,FREE,15,DOUBLE PANE,1959.0,2017.0
3536,NONE,,NO,NO,Not Available,NO,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,NO,YES,YES,0.0,12.0,0.0,3,15,YES,"Ground Level Garage , Surface Parking",YES,WILANMAR HOLDINGS LTD.,PRIVATE,4154177,NO,YES,NO,871  MILLWOOD RD ,NO,UNAVAILABLE,15,DOUBLE PANE,1947.0,2017.0
3537,NONE,,NO,NO,Not Available,NO,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,NO,YES,YES,,0.0,0.0,4,19,NO,"Ground Level Garage , Surface Parking",YES,,PRIVATE,4154181,NO,NO,NO,1295  BAYVIEW AVE ,NO,UNAVAILABLE,15,DOUBLE PANE,1953.0,2018.0
3538,INDIVIDUAL UNITS,,YES,NO,Not Available,NO,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,NO,YES,YES,0.0,0.0,0.0,3,26,YES,"Ground Level Garage , Surface Parking",YES,G.L.G. DEVELOPMENTS LTD.,PRIVATE,4154666,NO,YES,NO,215  WILSON AVE ,NO,FREE,08,DOUBLE PANE,1955.0,2017.0
3539,NONE,Indoor recreation room,YES,YES,Not Available,NO,Recycling bins,YES,YES,HOT WATER,YES,NO,YES,YES,NO,1.0,10.0,2.0,5,125,YES,Surface Parking,YES,,TCHC,4154670,NO,NO,NO,193  WILSON AVE ,YES,BOTH,08,DOUBLE PANE,1982.0,2017.0
3540,NONE,,YES,NO,Not Available,NO,Green Bin / Organics,YES,YES,HOT WATER,YES,NO,NO,YES,YES,0.0,2.0,2.0,16,152,NO,"Underground Garage , Garage accessible thru buildg , Surface Parking",NO,VIRON PROPERTIES INC.,PRIVATE,4154671,NO,NO,NO,2200  AVENUE RD ,YES,FREE,08,DOUBLE PANE,1969.0,2017.0
3541,NONE,,YES,NO,Not Available,NO,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,NO,YES,YES,0.0,0.0,1.0,3,54,NO,"Underground Garage , Garage accessible thru buildg , Surface Parking",YES,,PRIVATE,4154679,NO,YES,NO,2135  AVENUE RD ,NO,FREE,08,DOUBLE PANE,1953.0,2017.0
3542,NONE,,YES,YES,Not Available,YES,Recycling bins,YES,NO,HOT WATER,YES,NO,NO,YES,YES,36.0,0.0,1.0,7,36,NO,Surface Parking,YES,CANDO APARTMENTS LTD.,PRIVATE,4155046,NO,YES,NO,839  ROSELAWN AVE ,NO,UNAVAILABLE,08,SINGLE PANE,1955.0,2017.0
3543,NONE,"Outdoor pool , Indoor pool",YES,NO,0 indoor parking spots and 8 outdoor parking spots,NO,Green Bin / Organics,YES,YES,HOT WATER,YES,NO,YES,YES,YES,0.0,2.0,3.0,18,315,NO,"Underground Garage , Garage accessible thru buildg , Surface Parking",YES,KING'S COLLEGE MANAGEMENT LTD.,PRIVATE,4155052,NO,YES,NO,145  MARLEE AVE ,YES,PAID,08,DOUBLE PANE,1967.0,2017.0
3544,NONE,,NO,NO,Not Available,NO,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,NO,YES,YES,0.0,8.0,0.0,3,15,YES,Surface Parking,NO,,PRIVATE,4155059,NO,YES,NO,2495  DUFFERIN ST ,NO,FREE,08,DOUBLE PANE,1960.0,2017.0
3545,NONE,"Indoor pool , Indoor exercise room , Sauna",YES,YES,15 indoor parking spots and 0 outdoor parking spots,NO,Green Bin / Organics,YES,YES,HOT WATER,YES,NO,YES,YES,YES,0.0,0.0,3.0,28,214,NO,"Underground Garage , Garage accessible thru buildg",YES,,PRIVATE,4155062,NO,YES,NO,370  RIDELLE AVE ,YES,FREE,08,DOUBLE PANE,1965.0,2017.0
3546,NONE,,YES,NO,0 indoor parking spots and 12 outdoor parking spots,NO,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,YES,YES,YES,0.0,0.0,1.0,5,78,NO,Surface Parking,YES,,PRIVATE,4155065,NO,YES,NO,2005  EGLINTON AVE W,YES,FREE,09,DOUBLE PANE,1959.0,2017.0
3547,NONE,,NO,NO,Not Available,NO,Recycling bins,YES,NO,HOT WATER,YES,NO,NO,YES,NO,0.0,0.0,0.0,3,29,NO,Surface Parking,NO,PROPERTY SERVICES INC.,PRIVATE,4155077,NO,NO,NO,524  HARVIE AVE ,NO,UNAVAILABLE,09,DOUBLE PANE,1960.0,2017.0
3548,NONE,,YES,YES,Not Available,NO,Green Bin / Organics,YES,YES,HOT WATER,YES,NO,YES,YES,YES,3.0,5.0,3.0,13,213,YES,"Underground Garage , Garage accessible thru buildg , Surface Parking",NO,DEL MANAGMENT,TCHC,4155577,NO,NO,NO,3847  LAWRENCE AVE E,YES,PAID,24,DOUBLE PANE,1969.0,2017.0
3549,NONE,"Outdoor pool , Indoor recreation room , Outdoor rec facilities , Child play area",YES,YES,Not Available,NO,Green Bin / Organics,YES,YES,HOT WATER,YES,NO,YES,YES,YES,1.0,4.0,2.0,13,198,YES,"Underground Garage , Garage accessible thru buildg , Surface Parking",YES,DEL MANAGEMENT,TCHC,4155581,NO,NO,NO,90  MORNELLE CRT ,YES,BOTH,24,SINGLE PANE,1971.0,2017.0
3550,NONE,Indoor recreation room,YES,YES,Not Available,NO,Recycling bins,YES,YES,HOT WATER,YES,NO,YES,YES,NO,1.0,5.0,1.0,4,105,YES,"Underground Garage , Garage accessible thru buildg , Surface Parking",YES,,TCHC,4155598,NO,NO,NO,6  HENRY ST ,YES,UNAVAILABLE,11,DOUBLE PANE,1978.0,2017.0
3551,NONE,"Indoor recreation room , Outdoor rec facilities , Child play area",YES,YES,Not Available,NO,Green Bin / Organics,YES,YES,HOT WATER,YES,NO,YES,YES,YES,1.0,6.0,3.0,16,301,YES,"Underground Garage , Garage accessible thru buildg , Surface Parking",YES,,TCHC,4155600,NO,NO,NO,155  SHERBOURNE ST ,YES,BOTH,13,DOUBLE PANE,1973.0,2017.0
3552,NONE,,YES,YES,0 indoor parking spots and 6 outdoor parking spots,NO,Green Bin / Organics,YES,YES,HOT WATER,YES,NO,NO,YES,NO,2.0,3.0,1.0,6,60,YES,Surface Parking,NO,TCH,TCHC,4155606,NO,NO,NO,1555  QUEEN ST E,YES,PAID,14,DOUBLE PANE,1969.0,2017.0
3553,NONE,,NO,NO,0 indoor parking spots and 40 outdoor parking spots,NO,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,NO,YES,YES,0.0,4.0,0.0,3,34,YES,"Ground Level Garage , Surface Parking",NO,CAPREIT LIMITED PARTNERSHIP,PRIVATE,4156108,NO,NO,YES,2525  LAKE SHORE BLVD W,NO,FREE,03,DOUBLE PANE,1952.0,2017.0
3554,NONE,"Outdoor rec facilities , Child play area",YES,NO,0 indoor parking spots and 20 outdoor parking spots,NO,Green Bin / Organics,YES,YES,HOT WATER,YES,NO,NO,YES,YES,0.0,0.0,2.0,9,88,NO,"Underground Garage , Ground Level Garage , Garage accessible thru buildg , Surface Parking",YES,METCAP LIVING MANAGEMENT INC.,PRIVATE,4156521,NO,YES,NO,65  SILVER SPRINGS BLVD ,YES,FREE,22,DOUBLE PANE,1978.0,2017.0
3555,NONE,,YES,NO,Not Available,NO,Green Bin / Organics,YES,YES,HOT WATER,YES,NO,NO,YES,YES,0.0,0.0,3.0,16,253,NO,"Underground Garage , Garage accessible thru buildg , Surface Parking",YES,,PRIVATE,4152771,NO,YES,NO,126  BELLAMY RD N,YES,UNAVAILABLE,21,DOUBLE PANE,1971.0,2017.0
3556,NONE,,YES,YES,Not Available,YES,Recycling bins,YES,YES,HOT WATER,YES,NO,YES,YES,NO,68.0,80.0,2.0,6,68,NO,"Ground Level Garage , Surface Parking",NO,KINGS COLLEGE MANAGEMENT LTD,PRIVATE,4152787,NO,YES,NO,3101  EGLINTON AVE E,NO,FREE,20,DOUBLE PANE,1965.0,2017.0
3557,,,,, indoor parking spots and  outdoor parking spots,,Not Available,,,,,,,,,,,,6,81,,,,,PRIVATE,4152789,,,,3121  EGLINTON AVE E,,,20,DOUBLE PANE,,
3558,NONE,,YES,YES,Not Available,NO,Green Bin / Organics,YES,YES,HOT WATER,YES,NO,NO,YES,YES,0.0,1.0,2.0,7,79,YES,"Underground Garage , Ground Level Garage , Garage accessible thru buildg , Surface Parking",YES,,PRIVATE,4152795,NO,NO,NO,3091  EGLINTON AVE E,YES,FREE,20,SINGLE PANE,1968.0,2017.0
3559,NONE,,YES,YES,Not Available,NO,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,NO,YES,YES,0.0,0.0,1.0,9,52,NO,"Underground Garage , Garage accessible thru buildg , Surface Parking",YES,HOLLYBURN PROPERTIES LTD,PRIVATE,4153224,NO,YES,NO,169  ST GEORGE ST ,YES,PAID,11,DOUBLE PANE,1956.0,2017.0
3560,NONE,Indoor recreation room,YES,NO,0 indoor parking spots and 5 outdoor parking spots,NO,Green Bin / Organics,YES,YES,HOT WATER,YES,YES,NO,YES,NO,0.0,0.0,1.0,4,20,NO,,YES,MAINSTAY HOUSING,SOCIAL HOUSING,4153665,NO,NO,NO,2363  QUEEN ST E,YES,UNAVAILABLE,19,DOUBLE PANE,1940.0,2017.0
3561,NONE,,NO,NO,Not Available,NO,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,YES,YES,NO,0.0,0.0,0.0,3,15,NO,Surface Parking,YES,,PRIVATE,4153691,YES,YES,NO,441  KINGSTON RD ,NO,UNAVAILABLE,19,DOUBLE PANE,1920.0,2017.0
3562,NONE,,YES,YES,Not Available,NO,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,YES,YES,NO,1.0,1.0,0.0,4,21,YES,Surface Parking,NO,TCH,TCHC,4153696,NO,NO,NO,11  NEWBOLD AVE ,YES,FREE,19,DOUBLE PANE,1984.0,2017.0
3563,,,,, indoor parking spots and  outdoor parking spots,,Not Available,,,,,,,,,,,,5,36,,,,,PRIVATE,4153697,,,,592  WOODBINE AVE ,,,19,DOUBLE PANE,1966.0,
3564,NONE,,YES,NO,0 indoor parking spots and 6 outdoor parking spots,NO,Recycling bins,YES,NO,HOT WATER,YES,NO,NO,YES,YES,0.0,53.0,1.0,4,50,NO,"Underground Garage , Garage accessible thru buildg , Surface Parking",YES,JERUDAN DEVELOPMENTS LIMITED,PRIVATE,4154193,NO,YES,NO,970  EGLINTON AVE E,YES,FREE,15,SINGLE PANE,1965.0,2017.0
3565,NONE,,NO,NO,0 indoor parking spots and 0 outdoor parking spots,NO,Green Bin / Organics,YES,YES,HOT WATER,YES,NO,NO,YES,NO,1.0,0.0,0.0,4,16,YES,"Ground Level Garage , Surface Parking",YES,,PRIVATE,4154197,NO,NO,NO,31  BRENTCLIFFE RD ,NO,UNAVAILABLE,15,DOUBLE PANE,1958.0,2017.0
3566,INDIVIDUAL UNITS,,YES,NO,Not Available,YES,Recycling bins,YES,NO,HOT WATER,YES,NO,NO,YES,YES,0.0,0.0,0.0,4,37,NO,"Underground Garage , Garage accessible thru buildg",YES,,PRIVATE,4154203,NO,NO,NO,892  EGLINTON AVE E,YES,UNAVAILABLE,15,DOUBLE PANE,1961.0,2017.0
3567,INDIVIDUAL UNITS,,YES,NO,Not Available,NO,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,NO,YES,YES,0.0,0.0,0.0,3,18,NO,"Underground Garage , Garage accessible thru buildg",YES,,PRIVATE,4154204,NO,YES,NO,888  EGLINTON AVE E,NO,UNAVAILABLE,15,DOUBLE PANE,1954.0,2017.0
3568,NONE,,YES,NO,15 indoor parking spots and 0 outdoor parking spots,NO,Green Bin / Organics,YES,YES,HOT WATER,YES,NO,YES,YES,NO,0.0,0.0,2.0,4,112,NO,"Underground Garage , Garage accessible thru buildg",YES,,PRIVATE,4154207,NO,YES,NO,1833  BAYVIEW AVE ,YES,UNAVAILABLE,15,DOUBLE PANE,1965.0,2017.0
3569,NONE,,NO,NO,Not Available,NO,Recycling bins,YES,NO,HOT WATER,YES,NO,NO,YES,NO,0.0,0.0,0.0,4,32,NO,"Ground Level Garage , Surface Parking",YES,SIGNET GROUP INC,PRIVATE,4154208,NO,YES,NO,1760  WILSON AVE ,NO,UNAVAILABLE,07,DOUBLE PANE,1955.0,2017.0
3570,NONE,Indoor recreation room,YES,YES,24 indoor parking spots and 0 outdoor parking spots,NO,Unknown,YES,YES,HOT WATER,YES,NO,YES,YES,NO,466.0,0.0,3.0,23,466,NO,"Underground Garage , Ground Level Garage , Garage accessible thru buildg , Surface Parking",YES,GREENWIN INC.,PRIVATE,4154223,NO,YES,NO,160  CHALKFARM DR ,YES,FREE,07,SINGLE PANE,1972.0,2017.0
3571,NONE,,YES,NO,Not Available,NO,Recycling bins,YES,NO,HOT WATER,YES,NO,NO,YES,YES,0.0,0.0,0.0,4,22,NO,"Ground Level Garage , Surface Parking",NO,G&S REALTY INVESTMENTS INC.,PRIVATE,4155085,NO,NO,NO,1650  KEELE ST ,NO,UNAVAILABLE,05,DOUBLE PANE,1958.0,2017.0
3572,NONE,,NO,YES,Not Available,NO,Unknown,YES,NO,HOT WATER,YES,NO,NO,YES,YES,0.0,0.0,1.0,3,28,NO,"Ground Level Garage , Surface Parking",YES,MARBROOK DEVELOPMENTS LTD.,PRIVATE,4155108,NO,NO,NO,1960  KEELE ST ,NO,FREE,05,DOUBLE PANE,1957.0,2017.0
3573,NONE,,YES,NO,0 indoor parking spots and 9 outdoor parking spots,NO,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,NO,YES,NO,0.0,24.0,0.0,4,50,NO,Surface Parking,YES,SMALLWOOD CONSULTING LTD.,PRIVATE,4153716,NO,NO,NO,619  WOODBINE AVE ,NO,UNAVAILABLE,19,DOUBLE PANE,1956.0,2017.0
3574,NONE,Indoor recreation room,YES,YES,Not Available,NO,Green Bin / Organics,YES,YES,ELECTRIC,YES,NO,YES,YES,YES,1.0,0.0,2.0,5,97,YES,Surface Parking,YES,AYKLER MANAGEMENT,SOCIAL HOUSING,4153717,NO,NO,NO,751  WOODBINE AVE ,YES,UNAVAILABLE,19,SINGLE PANE,1987.0,2017.0
3575,NONE,,YES,NO,0 indoor parking spots and 0 outdoor parking spots,NO,Recycling bins,YES,NO,HOT WATER,YES,NO,NO,YES,YES,0.0,60.0,1.0,4,55,NO,Surface Parking,YES,SILVERCORE PROPERTIES INC,PRIVATE,4154253,NO,YES,NO,3286  WESTON RD ,YES,FREE,07,DOUBLE PANE,1961.0,2017.0
3576,NONE,,YES,YES,Not Available,NO,Green Bin / Organics,YES,YES,HOT WATER,YES,NO,NO,YES,NO,2.0,2.0,0.0,3,31,YES,Surface Parking,YES,TCH,TCHC,4155636,NO,NO,NO,5  FLEMINGTON RD ,YES,PAID,08,DOUBLE PANE,1957.0,2017.0
3577,NONE,,YES,YES,Not Available,NO,Recycling bins,YES,YES,FORCED AIR GAS,YES,NO,YES,YES,YES,74.0,40.0,1.0,3,74,NO,"Ground Level Garage , Surface Parking",YES,LEARON LIMITED,PRIVATE,4152804,NO,NO,NO,71  GUILDWOOD PKWY ,NO,FREE,24,DOUBLE PANE,1960.0,2017.0
3578,NONE,"Indoor pool , Indoor recreation room , Outdoor rec facilities , Indoor exercise room , Sauna",YES,YES,0 indoor parking spots and 10 outdoor parking spots,YES,Green Bin / Organics,YES,YES,HOT WATER,YES,NO,NO,YES,YES,188.0,1.0,3.0,16,188,NO,"Underground Garage , Ground Level Garage , Garage accessible thru buildg , Surface Parking",YES,DOVERHOLD INESTMENT LTD.,PRIVATE,4152805,NO,NO,NO,45  LIVINGSTON RD ,YES,FREE,24,DOUBLE PANE,1966.0,2017.0
3579,NONE,,YES,NO,Not Available,NO,Recycling bins,YES,YES,HOT WATER,YES,NO,YES,YES,YES,0.0,2.0,2.0,13,174,NO,"Underground Garage , Garage accessible thru buildg , Surface Parking",NO,,PRIVATE,4152807,NO,NO,NO,3969  KINGSTON RD ,YES,FREE,24,DOUBLE PANE,1967.0,2017.0
3580,NONE,Child play area,YES,YES,Not Available,NO,Green Bin / Organics,YES,YES,FORCED AIR GAS,YES,YES,YES,YES,NO,7.0,4.0,2.0,8,111,NO,"Underground Garage , Garage accessible thru buildg",YES,,SOCIAL HOUSING,4153726,NO,NO,NO,20  TRENT AVE ,YES,PAID,19,DOUBLE PANE,1992.0,2017.0
3581,NONE,,YES,NO,0 indoor parking spots and 12 outdoor parking spots,NO,Recycling bins,YES,NO,HOT WATER,YES,NO,NO,YES,YES,0.0,0.0,1.0,4,71,NO,Surface Parking,YES,,PRIVATE,4153747,NO,YES,NO,49  GLEN ELM AVE ,YES,FREE,12,DOUBLE PANE,1954.0,2017.0
3582,,,,, indoor parking spots and  outdoor parking spots,,Not Available,,,,,,,,,,,,4,40,,,,,PRIVATE,4154272,,,,90  YORK GATE BLVD ,,,07,SINGLE PANE,,
3583,NONE,,YES,YES,Not Available,YES,Recycling bins,YES,YES,HOT WATER,YES,NO,NO,YES,NO,148.0,16.0,2.0,11,148,NO,"Underground Garage , Surface Parking",YES,CANDO APARTMENTS LTD.,PRIVATE,4154275,NO,YES,NO,25  DUNCANWOODS DR ,YES,PAID,07,DOUBLE PANE,1960.0,2017.0
3584,NONE,,YES,NO,Not Available,NO,Green Bin / Organics,YES,YES,HOT WATER,YES,NO,NO,YES,YES,0.0,0.0,2.0,7,113,YES,"Ground Level Garage , Surface Parking",YES,JOLAN PROPERTIES INC.,PRIVATE,4154278,NO,YES,NO,2600  FINCH AVE W,YES,FREE,07,DOUBLE PANE,1971.0,2017.0
3585,NONE,,NO,NO,Not Available,NO,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,NO,YES,NO,0.0,9.0,0.0,3,10,NO,"Ground Level Garage , Surface Parking",YES,,PRIVATE,4154287,NO,YES,NO,2250  KEELE ST ,NO,FREE,05,DOUBLE PANE,1958.0,2017.0
3586,NONE,,YES,NO,Not Available,NO,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,YES,YES,YES,0.0,71.0,2.0,7,60,NO,"Ground Level Garage , Surface Parking",YES,GULLIVER ROAD INVESTMENTS,PRIVATE,4154296,NO,YES,NO,42  GULLIVER RD ,YES,FREE,05,DOUBLE PANE,1960.0,2017.0
3587,NONE,,NO,NO,Not Available,NO,Green Bin / Organics,YES,NO,HOT WATER,NO,NO,YES,YES,YES,0.0,0.0,0.0,4,47,NO,Ground Level Garage,YES,,PRIVATE,4154301,NO,YES,NO,2368  KEELE ST ,YES,FREE,05,DOUBLE PANE,1957.0,2017.0
3588,NONE,,NO,NO,Not Available,NO,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,NO,YES,NO,0.0,10.0,0.0,3,17,YES,Surface Parking,NO,,PRIVATE,4155174,NO,NO,NO,8  CASTLETON AVE ,NO,FREE,05,SINGLE PANE,1965.0,2017.0
